Year,Deaths,FIPS,STNAME,CTYNAME,POPULATION
2003,11.0,22001,Louisiana,Acadia Parish,59194.0
2005,23.0,22001,Louisiana,Acadia Parish,59524.0
2006,19.0,22001,Louisiana,Acadia Parish,60522.0
2007,19.0,22001,Louisiana,Acadia Parish,60762.0
2009,11.0,22001,Louisiana,Acadia Parish,61451.0
2010,13.0,22001,Louisiana,Acadia Parish,61787.0
2011,10.0,22001,Louisiana,Acadia Parish,61853.0
2003,17.0,16001,Idaho,Ada County,327393.0
2004,21.0,16001,Idaho,Ada County,334926.0
2005,20.0,16001,Idaho,Ada County,348755.0
2006,32.0,16001,Idaho,Ada County,363498.0
2007,32.0,16001,Idaho,Ada County,375368.0
2008,37.0,16001,Idaho,Ada County,382618.0
2009,34.0,16001,Idaho,Ada County,388577.0
2010,35.0,16001,Idaho,Ada County,392371.0
2011,32.0,16001,Idaho,Ada County,401235.0
2012,28.0,16001,Idaho,Ada County,408930.0
2013,43.0,16001,Idaho,Ada County,416080.0
2014,50.0,16001,Idaho,Ada County,425540.0
2015,30.0,16001,Idaho,Ada County,433047.0
2003,32.0,8001,Colorado,Adams County,377464.0
2004,35.0,8001,Colorado,Adams County,384809.0
2005,48.0,8001,Colorado,Adams County,395146.0
2006,52.0,8001,Colorado,Adams County,406575.0
2007,51.0,8001,Colorado,Adams County,415746.0
2008,50.0,8001,Colorado,Adams County,424913.0
2009,52.0,8001,Colorado,Adams County,435700.0
2010,53.0,8001,Colorado,Adams County,441698.0
2011,74.0,8001,Colorado,Adams County,452203.0
2012,78.0,8001,Colorado,Adams County,460648.0
2013,64.0,8001,Colorado,Adams County,470145.0
2014,74.0,8001,Colorado,Adams County,480263.0
2015,67.0,8001,Colorado,Adams County,490768.0
2015,14.0,17001,Illinois,Adams County,66857.0
2012,10.0,39001,Ohio,Adams County,28309.0
2014,10.0,39001,Ohio,Adams County,28085.0
2015,13.0,39001,Ohio,Adams County,27946.0
2009,12.0,42001,Pennsylvania,Adams County,101252.0
2010,10.0,42001,Pennsylvania,Adams County,101424.0
2003,10.0,45003,South Carolina,Aiken County,146793.0
2004,16.0,45003,South Carolina,Aiken County,148746.0
2005,13.0,45003,South Carolina,Aiken County,150152.0
2006,25.0,45003,South Carolina,Aiken County,152577.0
2007,19.0,45003,South Carolina,Aiken County,154814.0
2008,18.0,45003,South Carolina,Aiken County,156896.0
2009,21.0,45003,South Carolina,Aiken County,158499.0
2010,25.0,45003,South Carolina,Aiken County,160114.0
2011,22.0,45003,South Carolina,Aiken County,161566.0
2012,26.0,45003,South Carolina,Aiken County,162910.0
2013,27.0,45003,South Carolina,Aiken County,163694.0
2014,26.0,45003,South Carolina,Aiken County,164213.0
2015,30.0,45003,South Carolina,Aiken County,165657.0
2003,11.0,12001,Florida,Alachua County,227022.0
2007,17.0,12001,Florida,Alachua County,242685.0
2009,15.0,12001,Florida,Alachua County,246657.0
2010,15.0,12001,Florida,Alachua County,247337.0
2011,14.0,12001,Florida,Alachua County,249806.0
2012,14.0,12001,Florida,Alachua County,251513.0
2013,12.0,12001,Florida,Alachua County,252498.0
2014,19.0,12001,Florida,Alachua County,255499.0
2015,23.0,12001,Florida,Alachua County,259177.0
2005,11.0,37001,North Carolina,Alamance County,139311.0
2006,10.0,37001,North Carolina,Alamance County,141462.0
2007,11.0,37001,North Carolina,Alamance County,144712.0
2008,19.0,37001,North Carolina,Alamance County,147704.0
2009,20.0,37001,North Carolina,Alamance County,149954.0
2011,16.0,37001,North Carolina,Alamance County,152696.0
2012,19.0,37001,North Carolina,Alamance County,153282.0
2013,15.0,37001,North Carolina,Alamance County,154199.0
2014,16.0,37001,North Carolina,Alamance County,155425.0
2015,14.0,37001,North Carolina,Alamance County,157100.0
2003,113.0,6001,California,Alameda County,1454163.0
2004,135.0,6001,California,Alameda County,1445721.0
2005,144.0,6001,California,Alameda County,1441545.0
2006,160.0,6001,California,Alameda County,1444484.0
2007,163.0,6001,California,Alameda County,1455715.0
2008,135.0,6001,California,Alameda County,1477208.0
2009,129.0,6001,California,Alameda County,1498539.0
2010,106.0,6001,California,Alameda County,1510258.0
2011,139.0,6001,California,Alameda County,1530998.0
2012,115.0,6001,California,Alameda County,1554138.0
2013,150.0,6001,California,Alameda County,1580247.0
2014,142.0,6001,California,Alameda County,1608674.0
2015,188.0,6001,California,Alameda County,1634634.0
2006,11.0,36001,New York,Albany County,303997.0
2007,28.0,36001,New York,Albany County,303858.0
2008,15.0,36001,New York,Albany County,303739.0
2009,10.0,36001,New York,Albany County,304733.0
2010,24.0,36001,New York,Albany County,304208.0
2011,26.0,36001,New York,Albany County,304564.0
2012,13.0,36001,New York,Albany County,305717.0
2013,29.0,36001,New York,Albany County,306613.0
2014,25.0,36001,New York,Albany County,307190.0
2015,27.0,36001,New York,Albany County,307476.0
2009,11.0,37003,North Carolina,Alexander County,37053.0
2015,11.0,37003,North Carolina,Alexander County,36960.0
2009,12.0,51510,Virginia,Alexandria city,137523.0
2015,11.0,51510,Virginia,Alexandria city,153863.0
2007,17.0,26005,Michigan,Allegan County,111427.0
2009,12.0,26005,Michigan,Allegan County,111252.0
2013,10.0,26005,Michigan,Allegan County,112013.0
2014,21.0,26005,Michigan,Allegan County,113357.0
2003,15.0,24001,Maryland,Allegany County,74076.0
2006,12.0,24001,Maryland,Allegany County,73980.0
2011,10.0,24001,Maryland,Allegany County,74562.0
2015,11.0,24001,Maryland,Allegany County,72462.0
2003,186.0,42003,Pennsylvania,Allegheny County,1258420.0
2004,173.0,42003,Pennsylvania,Allegheny County,1247531.0
2005,188.0,42003,Pennsylvania,Allegheny County,1234787.0
2006,137.0,42003,Pennsylvania,Allegheny County,1226025.0
2007,195.0,42003,Pennsylvania,Allegheny County,1222482.0
2008,211.0,42003,Pennsylvania,Allegheny County,1221071.0
2009,195.0,42003,Pennsylvania,Allegheny County,1222171.0
2010,213.0,42003,Pennsylvania,Allegheny County,1223323.0
2011,229.0,42003,Pennsylvania,Allegheny County,1228183.0
2012,258.0,42003,Pennsylvania,Allegheny County,1230881.0
2013,249.0,42003,Pennsylvania,Allegheny County,1233710.0
2014,289.0,42003,Pennsylvania,Allegheny County,1233073.0
2015,398.0,42003,Pennsylvania,Allegheny County,1228965.0
2004,20.0,18003,Indiana,Allen County,340916.0
2005,24.0,18003,Indiana,Allen County,343238.0
2006,19.0,18003,Indiana,Allen County,346314.0
2007,18.0,18003,Indiana,Allen County,349534.0
2008,22.0,18003,Indiana,Allen County,351264.0
2009,31.0,18003,Indiana,Allen County,353693.0
2010,33.0,18003,Indiana,Allen County,355335.0
2011,25.0,18003,Indiana,Allen County,358919.0
2012,33.0,18003,Indiana,Allen County,360883.0
2013,47.0,18003,Indiana,Allen County,363384.0
2014,39.0,18003,Indiana,Allen County,365199.0
2015,57.0,18003,Indiana,Allen County,367543.0
2012,14.0,39003,Ohio,Allen County,105239.0
2013,15.0,39003,Ohio,Allen County,105047.0
2014,12.0,39003,Ohio,Allen County,104846.0
2015,18.0,39003,Ohio,Allen County,104069.0
2009,13.0,6005,California,Amador County,38238.0
2014,11.0,6005,California,Amador County,36738.0
2003,31.0,2020,Alaska,Anchorage Municipality,270568.0
2004,26.0,2020,Alaska,Anchorage Municipality,274484.0
2005,28.0,2020,Alaska,Anchorage Municipality,276494.0
2006,24.0,2020,Alaska,Anchorage Municipality,280085.0
2007,37.0,2020,Alaska,Anchorage Municipality,278792.0
2008,56.0,2020,Alaska,Anchorage Municipality,281554.0
2009,46.0,2020,Alaska,Anchorage Municipality,287677.0
2010,33.0,2020,Alaska,Anchorage Municipality,291829.0
2011,47.0,2020,Alaska,Anchorage Municipality,296154.0
2012,54.0,2020,Alaska,Anchorage Municipality,298233.0
2013,44.0,2020,Alaska,Anchorage Municipality,301155.0
2014,48.0,2020,Alaska,Anchorage Municipality,299927.0
2015,52.0,2020,Alaska,Anchorage Municipality,297613.0
2003,12.0,45007,South Carolina,Anderson County,171862.0
2004,18.0,45007,South Carolina,Anderson County,173539.0
2005,19.0,45007,South Carolina,Anderson County,175467.0
2006,18.0,45007,South Carolina,Anderson County,178579.0
2007,25.0,45007,South Carolina,Anderson County,181543.0
2008,29.0,45007,South Carolina,Anderson County,184520.0
2009,41.0,45007,South Carolina,Anderson County,186544.0
2010,33.0,45007,South Carolina,Anderson County,186943.0
2011,32.0,45007,South Carolina,Anderson County,188153.0
2012,28.0,45007,South Carolina,Anderson County,188822.0
2013,26.0,45007,South Carolina,Anderson County,190022.0
2014,35.0,45007,South Carolina,Anderson County,191807.0
2015,39.0,45007,South Carolina,Anderson County,193743.0
2003,10.0,47001,Tennessee,Anderson County,71608.0
2005,13.0,47001,Tennessee,Anderson County,72040.0
2006,13.0,47001,Tennessee,Anderson County,73117.0
2008,13.0,47001,Tennessee,Anderson County,74397.0
2010,16.0,47001,Tennessee,Anderson County,75089.0
2011,15.0,47001,Tennessee,Anderson County,75170.0
2012,16.0,47001,Tennessee,Anderson County,75191.0
2013,20.0,47001,Tennessee,Anderson County,75268.0
2014,18.0,47001,Tennessee,Anderson County,75139.0
2015,22.0,47001,Tennessee,Anderson County,75485.0
2004,11.0,48001,Texas,Anderson County,56245.0
2006,10.0,48001,Texas,Anderson County,57386.0
2008,10.0,48001,Texas,Anderson County,57963.0
2008,13.0,23001,Maine,Androscoggin County,108284.0
2009,13.0,23001,Maine,Androscoggin County,107830.0
2010,12.0,23001,Maine,Androscoggin County,107710.0
2011,12.0,23001,Maine,Androscoggin County,107426.0
2013,10.0,23001,Maine,Androscoggin County,107275.0
2014,21.0,23001,Maine,Androscoggin County,107415.0
2015,23.0,23001,Maine,Androscoggin County,107155.0
2003,41.0,24003,Maryland,Anne Arundel County,507769.0
2004,53.0,24003,Maryland,Anne Arundel County,513259.0
2005,58.0,24003,Maryland,Anne Arundel County,516171.0
2006,61.0,24003,Maryland,Anne Arundel County,517698.0
2007,68.0,24003,Maryland,Anne Arundel County,520503.0
2008,70.0,24003,Maryland,Anne Arundel County,525304.0
2009,74.0,24003,Maryland,Anne Arundel County,532395.0
2010,59.0,24003,Maryland,Anne Arundel County,537631.0
2011,72.0,24003,Maryland,Anne Arundel County,544744.0
2012,75.0,24003,Maryland,Anne Arundel County,550311.0
2013,86.0,24003,Maryland,Anne Arundel County,555438.0
2014,111.0,24003,Maryland,Anne Arundel County,559691.0
2015,122.0,24003,Maryland,Anne Arundel County,563502.0
2003,11.0,27003,Minnesota,Anoka County,311863.0
2004,14.0,27003,Minnesota,Anoka County,316643.0
2005,14.0,27003,Minnesota,Anoka County,319830.0
2006,12.0,27003,Minnesota,Anoka County,323590.0
2007,16.0,27003,Minnesota,Anoka County,325767.0
2008,13.0,27003,Minnesota,Anoka County,327427.0
2009,18.0,27003,Minnesota,Anoka County,329635.0
2010,26.0,27003,Minnesota,Anoka County,330858.0
2011,35.0,27003,Minnesota,Anoka County,332876.0
2012,36.0,27003,Minnesota,Anoka County,336093.0
2013,33.0,27003,Minnesota,Anoka County,339099.0
2014,22.0,27003,Minnesota,Anoka County,341911.0
2015,22.0,27003,Minnesota,Anoka County,344246.0
2006,10.0,48007,Texas,Aransas County,23395.0
2003,33.0,8005,Colorado,Arapahoe County,513690.0
2004,49.0,8005,Colorado,Arapahoe County,518971.0
2005,43.0,8005,Colorado,Arapahoe County,524466.0
2006,56.0,8005,Colorado,Arapahoe County,531619.0
2007,75.0,8005,Colorado,Arapahoe County,542039.0
2008,76.0,8005,Colorado,Arapahoe County,552461.0
2009,71.0,8005,Colorado,Arapahoe County,563161.0
2010,67.0,8005,Colorado,Arapahoe County,572130.0
2011,55.0,8005,Colorado,Arapahoe County,585844.0
2012,64.0,8005,Colorado,Arapahoe County,596343.0
2013,71.0,8005,Colorado,Arapahoe County,608209.0
2014,82.0,8005,Colorado,Arapahoe County,618798.0
2015,81.0,8005,Colorado,Arapahoe County,630637.0
2015,14.0,51013,Virginia,Arlington County,228746.0
2006,14.0,42005,Pennsylvania,Armstrong County,70030.0
2010,13.0,42005,Pennsylvania,Armstrong County,68944.0
2011,15.0,42005,Pennsylvania,Armstrong County,68492.0
2012,14.0,42005,Pennsylvania,Armstrong County,68058.0
2013,14.0,42005,Pennsylvania,Armstrong County,67851.0
2014,17.0,42005,Pennsylvania,Armstrong County,67466.0
2015,26.0,42005,Pennsylvania,Armstrong County,66753.0
2011,13.0,23003,Maine,Aroostook County,71384.0
2003,11.0,22005,Louisiana,Ascension Parish,83967.0
2005,10.0,22005,Louisiana,Ascension Parish,89741.0
2007,11.0,22005,Louisiana,Ascension Parish,100132.0
2008,12.0,22005,Louisiana,Ascension Parish,102891.0
2009,13.0,22005,Louisiana,Ascension Parish,105172.0
2011,11.0,22005,Louisiana,Ascension Parish,110065.0
2012,12.0,22005,Louisiana,Ascension Parish,112218.0
2013,22.0,22005,Louisiana,Ascension Parish,114638.0
2014,15.0,22005,Louisiana,Ascension Parish,117287.0
2015,16.0,22005,Louisiana,Ascension Parish,119374.0
2008,10.0,39007,Ohio,Ashtabula County,101826.0
2010,18.0,39007,Ohio,Ashtabula County,101490.0
2011,18.0,39007,Ohio,Ashtabula County,101070.0
2012,26.0,39007,Ohio,Ashtabula County,100236.0
2013,15.0,39007,Ohio,Ashtabula County,99732.0
2014,27.0,39007,Ohio,Ashtabula County,99017.0
2015,22.0,39007,Ohio,Ashtabula County,98372.0
2007,13.0,39009,Ohio,Athens County,64102.0
2011,12.0,39009,Ohio,Athens County,65070.0
2012,10.0,39009,Ohio,Athens County,64603.0
2003,34.0,34001,New Jersey,Atlantic County,263285.0
2004,40.0,34001,New Jersey,Atlantic County,267723.0
2005,35.0,34001,New Jersey,Atlantic County,270332.0
2006,35.0,34001,New Jersey,Atlantic County,271759.0
2007,26.0,34001,New Jersey,Atlantic County,272303.0
2008,31.0,34001,New Jersey,Atlantic County,273014.0
