County,County Code,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths
"Baldwin County, AL",1003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Jefferson County, AL",1073.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,37.0
"Jefferson County, AL",1073.0,2003.0,All other drug-induced causes,D9,32.0
"Mobile County, AL",1097.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0
"Anchorage Borough, AK",2020.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0
"Matanuska-Susitna Borough, AK",2170.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Cochise County, AZ",4003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Coconino County, AZ",4005.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Maricopa County, AZ",4013.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,273.0
"Maricopa County, AZ",4013.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,32.0
"Maricopa County, AZ",4013.0,2003.0,All other drug-induced causes,D9,47.0
"Mohave County, AZ",4015.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Pima County, AZ",4019.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,145.0
"Pinal County, AZ",4021.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
"Yavapai County, AZ",4025.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Pulaski County, AR",5119.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,18.0
"Alameda County, CA",6001.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,96.0
"Alameda County, CA",6001.0,2003.0,All other drug-induced causes,D9,17.0
"Butte County, CA",6007.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,40.0
"Contra Costa County, CA",6013.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,53.0
"El Dorado County, CA",6017.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0
"Fresno County, CA",6019.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,66.0
"Fresno County, CA",6019.0,2003.0,All other drug-induced causes,D9,18.0
"Humboldt County, CA",6023.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,38.0
"Kern County, CA",6029.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,79.0
"Kern County, CA",6029.0,2003.0,All other drug-induced causes,D9,13.0
"Los Angeles County, CA",6037.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,616.0
"Los Angeles County, CA",6037.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,21.0
"Los Angeles County, CA",6037.0,2003.0,All other drug-induced causes,D9,132.0
"Madera County, CA",6039.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Marin County, CA",6041.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,19.0
