Year,Deaths,County_Name,State
2003.0,11.0,Acadia Parish, LA
2005.0,23.0,Acadia Parish, LA
2006.0,19.0,Acadia Parish, LA
2007.0,19.0,Acadia Parish, LA
2009.0,11.0,Acadia Parish, LA
2010.0,13.0,Acadia Parish, LA
2011.0,10.0,Acadia Parish, LA
2003.0,17.0,Ada County, ID
2004.0,21.0,Ada County, ID
2005.0,20.0,Ada County, ID
2006.0,32.0,Ada County, ID
2007.0,32.0,Ada County, ID
2008.0,37.0,Ada County, ID
2009.0,34.0,Ada County, ID
2010.0,35.0,Ada County, ID
2011.0,32.0,Ada County, ID
2012.0,28.0,Ada County, ID
2013.0,43.0,Ada County, ID
2014.0,50.0,Ada County, ID
2015.0,30.0,Ada County, ID
2003.0,32.0,Adams County, CO
2004.0,35.0,Adams County, CO
2005.0,48.0,Adams County, CO
2006.0,52.0,Adams County, CO
2007.0,51.0,Adams County, CO
2008.0,50.0,Adams County, CO
2009.0,52.0,Adams County, CO
2010.0,53.0,Adams County, CO
2011.0,74.0,Adams County, CO
2012.0,78.0,Adams County, CO
2013.0,64.0,Adams County, CO
2014.0,74.0,Adams County, CO
2015.0,67.0,Adams County, CO
2015.0,14.0,Adams County, IL
2012.0,10.0,Adams County, OH
2014.0,10.0,Adams County, OH
2015.0,13.0,Adams County, OH
2009.0,12.0,Adams County, PA
2010.0,10.0,Adams County, PA
2003.0,10.0,Aiken County, SC
2004.0,16.0,Aiken County, SC
2005.0,13.0,Aiken County, SC
2006.0,25.0,Aiken County, SC
2007.0,19.0,Aiken County, SC
2008.0,18.0,Aiken County, SC
2009.0,21.0,Aiken County, SC
2010.0,25.0,Aiken County, SC
2011.0,22.0,Aiken County, SC
2012.0,26.0,Aiken County, SC
2013.0,27.0,Aiken County, SC
2014.0,26.0,Aiken County, SC
2015.0,30.0,Aiken County, SC
2003.0,11.0,Alachua County, FL
2007.0,17.0,Alachua County, FL
2009.0,15.0,Alachua County, FL
2010.0,15.0,Alachua County, FL
2011.0,14.0,Alachua County, FL
2012.0,14.0,Alachua County, FL
2013.0,12.0,Alachua County, FL
2014.0,19.0,Alachua County, FL
2015.0,23.0,Alachua County, FL
2005.0,11.0,Alamance County, NC
2006.0,10.0,Alamance County, NC
2007.0,11.0,Alamance County, NC
2008.0,19.0,Alamance County, NC
2009.0,20.0,Alamance County, NC
2011.0,16.0,Alamance County, NC
2012.0,19.0,Alamance County, NC
2013.0,15.0,Alamance County, NC
2014.0,16.0,Alamance County, NC
2015.0,14.0,Alamance County, NC
2003.0,113.0,Alameda County, CA
