Year,Deaths,County_Name,State,FIPS,Name
2003.0,11.0,acadia,LA,22001,acadia
2005.0,23.0,acadia,LA,22001,acadia
2006.0,19.0,acadia,LA,22001,acadia
2007.0,19.0,acadia,LA,22001,acadia
2009.0,11.0,acadia,LA,22001,acadia
2010.0,13.0,acadia,LA,22001,acadia
2011.0,10.0,acadia,LA,22001,acadia
2003.0,17.0,ada,ID,16001,ada
2004.0,21.0,ada,ID,16001,ada
2005.0,20.0,ada,ID,16001,ada
2006.0,32.0,ada,ID,16001,ada
2007.0,32.0,ada,ID,16001,ada
2008.0,37.0,ada,ID,16001,ada
2009.0,34.0,ada,ID,16001,ada
2010.0,35.0,ada,ID,16001,ada
2011.0,32.0,ada,ID,16001,ada
2012.0,28.0,ada,ID,16001,ada
2013.0,43.0,ada,ID,16001,ada
2014.0,50.0,ada,ID,16001,ada
2015.0,30.0,ada,ID,16001,ada
2003.0,32.0,adams,CO,8001,adams
2004.0,35.0,adams,CO,8001,adams
2005.0,48.0,adams,CO,8001,adams
2006.0,52.0,adams,CO,8001,adams
2007.0,51.0,adams,CO,8001,adams
2008.0,50.0,adams,CO,8001,adams
2009.0,52.0,adams,CO,8001,adams
2010.0,53.0,adams,CO,8001,adams
2011.0,74.0,adams,CO,8001,adams
2012.0,78.0,adams,CO,8001,adams
2013.0,64.0,adams,CO,8001,adams
2014.0,74.0,adams,CO,8001,adams
2015.0,67.0,adams,CO,8001,adams
2015.0,14.0,adams,IL,17001,adams
2012.0,10.0,adams,OH,39001,adams
2014.0,10.0,adams,OH,39001,adams
2015.0,13.0,adams,OH,39001,adams
2009.0,12.0,adams,PA,42001,adams
2010.0,10.0,adams,PA,42001,adams
2003.0,10.0,aiken,SC,45003,aiken
2004.0,16.0,aiken,SC,45003,aiken
2005.0,13.0,aiken,SC,45003,aiken
2006.0,25.0,aiken,SC,45003,aiken
2007.0,19.0,aiken,SC,45003,aiken
2008.0,18.0,aiken,SC,45003,aiken
2009.0,21.0,aiken,SC,45003,aiken
2010.0,25.0,aiken,SC,45003,aiken
2011.0,22.0,aiken,SC,45003,aiken
2012.0,26.0,aiken,SC,45003,aiken
2013.0,27.0,aiken,SC,45003,aiken
2014.0,26.0,aiken,SC,45003,aiken
2015.0,30.0,aiken,SC,45003,aiken
2003.0,11.0,alachua,FL,12001,alachua
2007.0,17.0,alachua,FL,12001,alachua
2009.0,15.0,alachua,FL,12001,alachua
2010.0,15.0,alachua,FL,12001,alachua
2011.0,14.0,alachua,FL,12001,alachua
2012.0,14.0,alachua,FL,12001,alachua
2013.0,12.0,alachua,FL,12001,alachua
2014.0,19.0,alachua,FL,12001,alachua
2015.0,23.0,alachua,FL,12001,alachua
2005.0,11.0,alamance,NC,37001,alamance
2006.0,10.0,alamance,NC,37001,alamance
2007.0,11.0,alamance,NC,37001,alamance
2008.0,19.0,alamance,NC,37001,alamance
2009.0,20.0,alamance,NC,37001,alamance
2011.0,16.0,alamance,NC,37001,alamance
2012.0,19.0,alamance,NC,37001,alamance
2013.0,15.0,alamance,NC,37001,alamance
2014.0,16.0,alamance,NC,37001,alamance
2015.0,14.0,alamance,NC,37001,alamance
2003.0,113.0,alameda,CA,6001,alameda
2004.0,135.0,alameda,CA,6001,alameda
2005.0,144.0,alameda,CA,6001,alameda
2006.0,160.0,alameda,CA,6001,alameda
2007.0,163.0,alameda,CA,6001,alameda
2008.0,135.0,alameda,CA,6001,alameda
2009.0,129.0,alameda,CA,6001,alameda
2010.0,106.0,alameda,CA,6001,alameda
2011.0,139.0,alameda,CA,6001,alameda
2012.0,115.0,alameda,CA,6001,alameda
2013.0,150.0,alameda,CA,6001,alameda
2014.0,142.0,alameda,CA,6001,alameda
2015.0,188.0,alameda,CA,6001,alameda
2006.0,11.0,albany,NY,36001,albany
2007.0,28.0,albany,NY,36001,albany
2008.0,15.0,albany,NY,36001,albany
2009.0,10.0,albany,NY,36001,albany
2010.0,24.0,albany,NY,36001,albany
2011.0,26.0,albany,NY,36001,albany
2012.0,13.0,albany,NY,36001,albany
2013.0,29.0,albany,NY,36001,albany
2014.0,25.0,albany,NY,36001,albany
2015.0,27.0,albany,NY,36001,albany
2009.0,11.0,alexander,NC,37003,alexander
2015.0,11.0,alexander,NC,37003,alexander
2009.0,12.0,alexandriacity,VA,51510,alexandriacity
2015.0,11.0,alexandriacity,VA,51510,alexandriacity
2007.0,17.0,allegan,MI,26005,allegan
