,FIPS,STNAME,CTYNAME,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP_x,POPESTIMATE2010_x,CENSUS2010POP_y,ESTIMATESBASE2010,POPESTIMATE2010_y,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
0,01000,Alabama,Alabama,4447207,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4779736,4785298,4779736.0,4780138.0,4785448.0,4798834.0,4815564.0,4830460.0,4842481.0,4853160.0,4864745.0,4875120.0,4887871.0
1,01001,Alabama,Autauga County,43751,44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,54571,54632,54571.0,54574.0,54754.0,55208.0,54936.0,54713.0,54876.0,54838.0,55242.0,55443.0,55601.0
2,01003,Alabama,Baldwin County,140416,141342,144875,147957,151509,156266,162183,168121,172404,175827,179406,182265,183195,182265.0,182264.0,183111.0,186540.0,190143.0,194886.0,199189.0,202995.0,207712.0,212619.0,218022.0
3,01005,Alabama,Barbour County,29042,29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,27457,27411,27457.0,27457.0,27330.0,27350.0,27174.0,26944.0,26758.0,26294.0,25819.0,25158.0,24881.0
4,01007,Alabama,Bibb County,19856,19913,21028,21199,21399,21721,22042,22099,22438,22705,22941,22915,22867,22915.0,22920.0,22872.0,22747.0,22664.0,22516.0,22541.0,22562.0,22576.0,22555.0,22400.0
5,01009,Alabama,Blount County,50982,51107,51845,52551,53457,54124,54624,55485,56240,57055,57341,57322,57338,57322.0,57321.0,57373.0,57554.0,57570.0,57611.0,57521.0,57522.0,57517.0,57827.0,57840.0
6,01011,Alabama,Bullock County,11603,11581,11358,11256,11316,11056,11011,10776,11011,10953,10987,10914,10890,10914.0,10911.0,10878.0,10677.0,10607.0,10551.0,10665.0,10400.0,10381.0,10176.0,10138.0
7,01013,Alabama,Butler County,21394,21325,21139,20803,20833,20870,20830,20815,20894,20949,20867,20947,20951,20947.0,20943.0,20942.0,20878.0,20687.0,20374.0,20343.0,20176.0,20029.0,19898.0,19680.0
8,01015,Alabama,Calhoun County,111882,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118572,118510,118572.0,118594.0,118477.0,117797.0,117257.0,116541.0,115995.0,115536.0,115018.0,114664.0,114277.0
9,01017,Alabama,Chambers County,36600,36571,36274,35965,35680,35463,35279,34945,34847,34563,34384,34215,34157,34215.0,34171.0,34122.0,34030.0,34104.0,34143.0,33980.0,34007.0,33771.0,33758.0,33615.0
10,01019,Alabama,Cherokee County,23909,24006,24182,24403,24591,24887,25031,25466,25553,25636,25854,25989,25991,25989.0,25989.0,25974.0,25994.0,25963.0,26025.0,25902.0,25739.0,25776.0,25815.0,26032.0
11,01021,Alabama,Chilton County,39604,39897,40197,40683,41079,41534,41946,42318,42881,43239,43484,43643,43682,43643.0,43630.0,43653.0,43687.0,43582.0,43634.0,43769.0,43717.0,43896.0,44117.0,44153.0
12,01023,Alabama,Choctaw County,15953,15875,15677,15367,15199,14930,14545,14431,14216,14114,13976,13859,13820,13859.0,13858.0,13849.0,13607.0,13561.0,13396.0,13317.0,13233.0,13049.0,12935.0,12841.0
13,01025,Alabama,Clarke County,27870,27819,27624,27267,27090,26958,26764,26755,26436,26283,26038,25833,25763,25833.0,25833.0,25765.0,25582.0,25154.0,25122.0,24865.0,24703.0,24349.0,24097.0,23920.0
