,FIPS,STNAME,CTYNAME,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,01000,Alabama,Alabama,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4780138.0,4798834.0,4815564.0,4830460.0,4842481.0,4853160.0
1,01001,Alabama,Autauga County,46800,48366,49676,51328,52405,53277,54135,54574.0,55208.0,54936.0,54713.0,54876.0,54838.0
2,01003,Alabama,Baldwin County,151509,156266,162183,168121,172404,175827,179406,182264.0,186540.0,190143.0,194886.0,199189.0,202995.0
3,01005,Alabama,Barbour County,28594,28287,28027,27861,27757,27808,27657,27457.0,27350.0,27174.0,26944.0,26758.0,26294.0
4,01007,Alabama,Bibb County,21399,21721,22042,22099,22438,22705,22941,22920.0,22747.0,22664.0,22516.0,22541.0,22562.0
5,01009,Alabama,Blount County,53457,54124,54624,55485,56240,57055,57341,57321.0,57554.0,57570.0,57611.0,57521.0,57522.0
6,01011,Alabama,Bullock County,11316,11056,11011,10776,11011,10953,10987,10911.0,10677.0,10607.0,10551.0,10665.0,10400.0
7,01013,Alabama,Butler County,20833,20870,20830,20815,20894,20949,20867,20943.0,20878.0,20687.0,20374.0,20343.0,20176.0
8,01015,Alabama,Calhoun County,112705,113462,114477,115388,116211,117274,118363,118594.0,117797.0,117257.0,116541.0,115995.0,115536.0
9,01017,Alabama,Chambers County,35680,35463,35279,34945,34847,34563,34384,34171.0,34030.0,34104.0,34143.0,33980.0,34007.0
10,01019,Alabama,Cherokee County,24591,24887,25031,25466,25553,25636,25854,25989.0,25994.0,25963.0,26025.0,25902.0,25739.0
11,01021,Alabama,Chilton County,41079,41534,41946,42318,42881,43239,43484,43630.0,43687.0,43582.0,43634.0,43769.0,43717.0
12,01023,Alabama,Choctaw County,15199,14930,14545,14431,14216,14114,13976,13858.0,13607.0,13561.0,13396.0,13317.0,13233.0
13,01025,Alabama,Clarke County,27090,26958,26764,26755,26436,26283,26038,25833.0,25582.0,25154.0,25122.0,24865.0,24703.0
14,01027,Alabama,Clay County,14203,14121,14077,14053,14085,14161,14006,13930.0,13686.0,13432.0,13404.0,13440.0,13413.0
15,01029,Alabama,Cleburne County,14438,14339,14368,14538,14799,14874,14918,14972.0,14928.0,14889.0,14976.0,15025.0,14917.0
16,01031,Alabama,Coffee County,44315,45053,45604,46228,47458,48516,49440,49952.0,50435.0,51136.0,50677.0,50655.0,50952.0
