,FIPS,STNAME,CTYNAME,YEAR,POPULATION
0,01000,Alabama,Alabama,CENSUS2010,4779736.0
1,01000,Alabama,Alabama,ESTIMATESBASE2000,4447207.0
2,01000,Alabama,Alabama,ESTIMATESBASE2010,4780138.0
3,01000,Alabama,Alabama,POPESTIMATE2003,4503491.0
4,01000,Alabama,Alabama,POPESTIMATE2004,4530729.0
5,01000,Alabama,Alabama,POPESTIMATE2005,4569805.0
6,01000,Alabama,Alabama,POPESTIMATE2006,4628981.0
7,01000,Alabama,Alabama,POPESTIMATE2007,4672840.0
8,01000,Alabama,Alabama,POPESTIMATE2008,4718206.0
9,01000,Alabama,Alabama,POPESTIMATE2009,4757938.0
10,01000,Alabama,Alabama,POPESTIMATE2011,4798834.0
11,01000,Alabama,Alabama,POPESTIMATE2012,4815564.0
12,01000,Alabama,Alabama,POPESTIMATE2013,4830460.0
13,01000,Alabama,Alabama,POPESTIMATE2014,4842481.0
14,01000,Alabama,Alabama,POPESTIMATE2015,4853160.0
15,01001,Alabama,Autauga County,CENSUS2010,54571.0
16,01001,Alabama,Autauga County,ESTIMATESBASE2000,43751.0
17,01001,Alabama,Autauga County,ESTIMATESBASE2010,54574.0
18,01001,Alabama,Autauga County,POPESTIMATE2003,46800.0
19,01001,Alabama,Autauga County,POPESTIMATE2004,48366.0
20,01001,Alabama,Autauga County,POPESTIMATE2005,49676.0
21,01001,Alabama,Autauga County,POPESTIMATE2006,51328.0
22,01001,Alabama,Autauga County,POPESTIMATE2007,52405.0
23,01001,Alabama,Autauga County,POPESTIMATE2008,53277.0
24,01001,Alabama,Autauga County,POPESTIMATE2009,54135.0
25,01001,Alabama,Autauga County,POPESTIMATE2011,55208.0
26,01001,Alabama,Autauga County,POPESTIMATE2012,54936.0
27,01001,Alabama,Autauga County,POPESTIMATE2013,54713.0
28,01001,Alabama,Autauga County,POPESTIMATE2014,54876.0
29,01001,Alabama,Autauga County,POPESTIMATE2015,54838.0
30,01003,Alabama,Baldwin County,CENSUS2010,182265.0
31,01003,Alabama,Baldwin County,ESTIMATESBASE2000,140416.0
32,01003,Alabama,Baldwin County,ESTIMATESBASE2010,182264.0
33,01003,Alabama,Baldwin County,POPESTIMATE2003,151509.0
34,01003,Alabama,Baldwin County,POPESTIMATE2004,156266.0
35,01003,Alabama,Baldwin County,POPESTIMATE2005,162183.0
36,01003,Alabama,Baldwin County,POPESTIMATE2006,168121.0
37,01003,Alabama,Baldwin County,POPESTIMATE2007,172404.0
38,01003,Alabama,Baldwin County,POPESTIMATE2008,175827.0
39,01003,Alabama,Baldwin County,POPESTIMATE2009,179406.0
40,01003,Alabama,Baldwin County,POPESTIMATE2011,186540.0
41,01003,Alabama,Baldwin County,POPESTIMATE2012,190143.0
42,01003,Alabama,Baldwin County,POPESTIMATE2013,194886.0
43,01003,Alabama,Baldwin County,POPESTIMATE2014,199189.0
44,01003,Alabama,Baldwin County,POPESTIMATE2015,202995.0
45,01005,Alabama,Barbour County,CENSUS2010,27457.0
46,01005,Alabama,Barbour County,ESTIMATESBASE2000,29042.0
47,01005,Alabama,Barbour County,ESTIMATESBASE2010,27457.0
48,01005,Alabama,Barbour County,POPESTIMATE2003,28594.0
49,01005,Alabama,Barbour County,POPESTIMATE2004,28287.0
50,01005,Alabama,Barbour County,POPESTIMATE2005,28027.0
51,01005,Alabama,Barbour County,POPESTIMATE2006,27861.0
52,01005,Alabama,Barbour County,POPESTIMATE2007,27757.0
53,01005,Alabama,Barbour County,POPESTIMATE2008,27808.0
54,01005,Alabama,Barbour County,POPESTIMATE2009,27657.0
55,01005,Alabama,Barbour County,POPESTIMATE2011,27350.0
56,01005,Alabama,Barbour County,POPESTIMATE2012,27174.0
57,01005,Alabama,Barbour County,POPESTIMATE2013,26944.0
58,01005,Alabama,Barbour County,POPESTIMATE2014,26758.0
59,01005,Alabama,Barbour County,POPESTIMATE2015,26294.0
60,01007,Alabama,Bibb County,CENSUS2010,22915.0
61,01007,Alabama,Bibb County,ESTIMATESBASE2000,19856.0
62,01007,Alabama,Bibb County,ESTIMATESBASE2010,22920.0
63,01007,Alabama,Bibb County,POPESTIMATE2003,21399.0
64,01007,Alabama,Bibb County,POPESTIMATE2004,21721.0
65,01007,Alabama,Bibb County,POPESTIMATE2005,22042.0
66,01007,Alabama,Bibb County,POPESTIMATE2006,22099.0
67,01007,Alabama,Bibb County,POPESTIMATE2007,22438.0
68,01007,Alabama,Bibb County,POPESTIMATE2008,22705.0
69,01007,Alabama,Bibb County,POPESTIMATE2009,22941.0
70,01007,Alabama,Bibb County,POPESTIMATE2011,22747.0
71,01007,Alabama,Bibb County,POPESTIMATE2012,22664.0
72,01007,Alabama,Bibb County,POPESTIMATE2013,22516.0
73,01007,Alabama,Bibb County,POPESTIMATE2014,22541.0
74,01007,Alabama,Bibb County,POPESTIMATE2015,22562.0
75,01009,Alabama,Blount County,CENSUS2010,57322.0
76,01009,Alabama,Blount County,ESTIMATESBASE2000,50982.0
77,01009,Alabama,Blount County,ESTIMATESBASE2010,57321.0
78,01009,Alabama,Blount County,POPESTIMATE2003,53457.0
79,01009,Alabama,Blount County,POPESTIMATE2004,54124.0
80,01009,Alabama,Blount County,POPESTIMATE2005,54624.0
81,01009,Alabama,Blount County,POPESTIMATE2006,55485.0
82,01009,Alabama,Blount County,POPESTIMATE2007,56240.0
83,01009,Alabama,Blount County,POPESTIMATE2008,57055.0
84,01009,Alabama,Blount County,POPESTIMATE2009,57341.0
85,01009,Alabama,Blount County,POPESTIMATE2011,57554.0
86,01009,Alabama,Blount County,POPESTIMATE2012,57570.0
87,01009,Alabama,Blount County,POPESTIMATE2013,57611.0
88,01009,Alabama,Blount County,POPESTIMATE2014,57521.0
89,01009,Alabama,Blount County,POPESTIMATE2015,57522.0
90,01011,Alabama,Bullock County,CENSUS2010,10914.0
91,01011,Alabama,Bullock County,ESTIMATESBASE2000,11603.0
92,01011,Alabama,Bullock County,ESTIMATESBASE2010,10911.0
93,01011,Alabama,Bullock County,POPESTIMATE2003,11316.0
94,01011,Alabama,Bullock County,POPESTIMATE2004,11056.0
95,01011,Alabama,Bullock County,POPESTIMATE2005,11011.0
96,01011,Alabama,Bullock County,POPESTIMATE2006,10776.0
97,01011,Alabama,Bullock County,POPESTIMATE2007,11011.0
98,01011,Alabama,Bullock County,POPESTIMATE2008,10953.0
99,01011,Alabama,Bullock County,POPESTIMATE2009,10987.0
100,01011,Alabama,Bullock County,POPESTIMATE2011,10677.0
101,01011,Alabama,Bullock County,POPESTIMATE2012,10607.0
102,01011,Alabama,Bullock County,POPESTIMATE2013,10551.0
103,01011,Alabama,Bullock County,POPESTIMATE2014,10665.0
104,01011,Alabama,Bullock County,POPESTIMATE2015,10400.0
105,01013,Alabama,Butler County,CENSUS2010,20947.0
106,01013,Alabama,Butler County,ESTIMATESBASE2000,21394.0
107,01013,Alabama,Butler County,ESTIMATESBASE2010,20943.0
108,01013,Alabama,Butler County,POPESTIMATE2003,20833.0
109,01013,Alabama,Butler County,POPESTIMATE2004,20870.0
110,01013,Alabama,Butler County,POPESTIMATE2005,20830.0
111,01013,Alabama,Butler County,POPESTIMATE2006,20815.0
112,01013,Alabama,Butler County,POPESTIMATE2007,20894.0
113,01013,Alabama,Butler County,POPESTIMATE2008,20949.0
114,01013,Alabama,Butler County,POPESTIMATE2009,20867.0
115,01013,Alabama,Butler County,POPESTIMATE2011,20878.0
116,01013,Alabama,Butler County,POPESTIMATE2012,20687.0
117,01013,Alabama,Butler County,POPESTIMATE2013,20374.0
118,01013,Alabama,Butler County,POPESTIMATE2014,20343.0
119,01013,Alabama,Butler County,POPESTIMATE2015,20176.0
120,01015,Alabama,Calhoun County,CENSUS2010,118572.0
121,01015,Alabama,Calhoun County,ESTIMATESBASE2000,111882.0
122,01015,Alabama,Calhoun County,ESTIMATESBASE2010,118594.0
123,01015,Alabama,Calhoun County,POPESTIMATE2003,112705.0
124,01015,Alabama,Calhoun County,POPESTIMATE2004,113462.0
125,01015,Alabama,Calhoun County,POPESTIMATE2005,114477.0
126,01015,Alabama,Calhoun County,POPESTIMATE2006,115388.0
127,01015,Alabama,Calhoun County,POPESTIMATE2007,116211.0
128,01015,Alabama,Calhoun County,POPESTIMATE2008,117274.0
129,01015,Alabama,Calhoun County,POPESTIMATE2009,118363.0
130,01015,Alabama,Calhoun County,POPESTIMATE2011,117797.0
131,01015,Alabama,Calhoun County,POPESTIMATE2012,117257.0
132,01015,Alabama,Calhoun County,POPESTIMATE2013,116541.0
133,01015,Alabama,Calhoun County,POPESTIMATE2014,115995.0
134,01015,Alabama,Calhoun County,POPESTIMATE2015,115536.0
135,01017,Alabama,Chambers County,CENSUS2010,34215.0
136,01017,Alabama,Chambers County,ESTIMATESBASE2000,36600.0
137,01017,Alabama,Chambers County,ESTIMATESBASE2010,34171.0
138,01017,Alabama,Chambers County,POPESTIMATE2003,35680.0
139,01017,Alabama,Chambers County,POPESTIMATE2004,35463.0
140,01017,Alabama,Chambers County,POPESTIMATE2005,35279.0
141,01017,Alabama,Chambers County,POPESTIMATE2006,34945.0
142,01017,Alabama,Chambers County,POPESTIMATE2007,34847.0
143,01017,Alabama,Chambers County,POPESTIMATE2008,34563.0
144,01017,Alabama,Chambers County,POPESTIMATE2009,34384.0
145,01017,Alabama,Chambers County,POPESTIMATE2011,34030.0
146,01017,Alabama,Chambers County,POPESTIMATE2012,34104.0
147,01017,Alabama,Chambers County,POPESTIMATE2013,34143.0
148,01017,Alabama,Chambers County,POPESTIMATE2014,33980.0
149,01017,Alabama,Chambers County,POPESTIMATE2015,34007.0
150,01019,Alabama,Cherokee County,CENSUS2010,25989.0
151,01019,Alabama,Cherokee County,ESTIMATESBASE2000,23909.0
152,01019,Alabama,Cherokee County,ESTIMATESBASE2010,25989.0
153,01019,Alabama,Cherokee County,POPESTIMATE2003,24591.0
154,01019,Alabama,Cherokee County,POPESTIMATE2004,24887.0
155,01019,Alabama,Cherokee County,POPESTIMATE2005,25031.0
156,01019,Alabama,Cherokee County,POPESTIMATE2006,25466.0
157,01019,Alabama,Cherokee County,POPESTIMATE2007,25553.0
158,01019,Alabama,Cherokee County,POPESTIMATE2008,25636.0
159,01019,Alabama,Cherokee County,POPESTIMATE2009,25854.0
160,01019,Alabama,Cherokee County,POPESTIMATE2011,25994.0
161,01019,Alabama,Cherokee County,POPESTIMATE2012,25963.0
162,01019,Alabama,Cherokee County,POPESTIMATE2013,26025.0
163,01019,Alabama,Cherokee County,POPESTIMATE2014,25902.0
164,01019,Alabama,Cherokee County,POPESTIMATE2015,25739.0
165,01021,Alabama,Chilton County,CENSUS2010,43643.0
166,01021,Alabama,Chilton County,ESTIMATESBASE2000,39604.0
167,01021,Alabama,Chilton County,ESTIMATESBASE2010,43630.0
168,01021,Alabama,Chilton County,POPESTIMATE2003,41079.0
169,01021,Alabama,Chilton County,POPESTIMATE2004,41534.0
170,01021,Alabama,Chilton County,POPESTIMATE2005,41946.0
171,01021,Alabama,Chilton County,POPESTIMATE2006,42318.0
172,01021,Alabama,Chilton County,POPESTIMATE2007,42881.0
173,01021,Alabama,Chilton County,POPESTIMATE2008,43239.0
174,01021,Alabama,Chilton County,POPESTIMATE2009,43484.0
175,01021,Alabama,Chilton County,POPESTIMATE2011,43687.0
176,01021,Alabama,Chilton County,POPESTIMATE2012,43582.0
177,01021,Alabama,Chilton County,POPESTIMATE2013,43634.0
178,01021,Alabama,Chilton County,POPESTIMATE2014,43769.0
179,01021,Alabama,Chilton County,POPESTIMATE2015,43717.0
180,01023,Alabama,Choctaw County,CENSUS2010,13859.0
181,01023,Alabama,Choctaw County,ESTIMATESBASE2000,15953.0
182,01023,Alabama,Choctaw County,ESTIMATESBASE2010,13858.0
