,FIPS,STNAME,CTYNAME,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,01000,Alabama,Alabama,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4780138.0,4798834.0,4815564.0,4830460.0,4842481.0,4853160.0
68,02000,Alaska,Alaska,648414,659286,666946,675302,680300,687455,698895,710249.0,722038.0,730399.0,737045.0,736307.0,737547.0
98,04000,Arizona,Arizona,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6392288.0,6473497.0,6556629.0,6634999.0,6733840.0,6833596.0
114,05000,Arkansas,Arkansas,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2916028.0,2940407.0,2952109.0,2959549.0,2967726.0,2978407.0
190,06000,California,California,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37254523.0,37641823.0,37960782.0,38280824.0,38625139.0,38953142.0
249,08000,Colorado,Colorado,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5029316.0,5121771.0,5193721.0,5270482.0,5351218.0,5452107.0
314,09000,Connecticut,Connecticut,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3574147.0,3588023.0,3594395.0,3594915.0,3594783.0,3587509.0
327,11000,District of Columbia,District of Columbia,568502,567754,567136,570681,574404,580236,592228,601766.0,619602.0,634725.0,650431.0,662513.0,675254.0
329,12000,Florida,Florida,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18804580.0,19093352.0,19326230.0,19563166.0,19860330.0,20224249.0
397,13000,Georgia,Georgia,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9688709.0,9801578.0,9901496.0,9973326.0,10069001.0,10181111.0
557,15000,Hawaii,Hawaii,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1360307.0,1379252.0,1394905.0,1408453.0,1414862.0,1422484.0
563,16000,Idaho,Idaho,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1567657.0,1583828.0,1595441.0,1611530.0,1631479.0,1651523.0
608,17000,Illinois,Illinois,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12831572.0,12867291.0,12884119.0,12898269.0,12888962.0,12864342.0
711,18000,Indiana,Indiana,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6484061.0,6516045.0,6537640.0,6568367.0,6593533.0,6608296.0
804,19000,Iowa,Iowa,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3046872.0,3066054.0,3076097.0,3093078.0,3109504.0,3121460.0
904,20000,Kansas,Kansas,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2853126.0,2869035.0,2885361.0,2893510.0,2900896.0,2909502.0
1010,21000,Kentucky,Kentucky,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4339333.0,4369488.0,4386381.0,4404817.0,4414483.0,4425999.0
1131,22000,Louisiana,Louisiana,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4533485.0,4575184.0,4600814.0,4624577.0,4644204.0,4664851.0
1196,23000,Maine,Maine,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1328369.0,1328150.0,1327691.0,1328196.0,1330760.0,1328484.0
1213,24000,Maryland,Maryland,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5773798.0,5838991.0,5887072.0,5923704.0,5958165.0,5986717.0
1238,25000,Massachusetts,Massachusetts,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6547790.0,6613149.0,6663158.0,6713944.0,6763652.0,6795891.0
1253,26000,Michigan,Michigan,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9884117.0,9881521.0,9896930.0,9913349.0,9930589.0,9932573.0
1337,27000,Minnesota,Minnesota,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5303925.0,5345668.0,5376550.0,5413693.0,5451522.0,5482503.0
1425,28000,Mississippi,Mississippi,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2968118.0,2978470.0,2983767.0,2988797.0,2990623.0,2988693.0
1508,29000,Missouri,Missouri,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5988952.0,6009641.0,6024081.0,6040658.0,6056293.0,6071745.0
1624,30000,Montana,Montana,919630,930009,940102,952692,964706,976415,983982,989409.0,997221.0,1003754.0,1013564.0,1021891.0,1030503.0
1681,31000,Nebraska,Nebraska,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1826305.0,1840538.0,1853323.0,1865414.0,1879522.0,1891507.0
1775,32000,Nevada,Nevada,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2700679.0,2712799.0,2744566.0,2776972.0,2819012.0,2868666.0
1793,33000,New Hampshire,New Hampshire,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316464.0,1319815.0,1323962.0,1326408.0,1333223.0,1336294.0
1804,34000,New Jersey,New Jersey,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8791962.0,8827783.0,8845483.0,8858362.0,8866780.0,8870869.0
1826,35000,New Mexico,New Mexico,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2059180.0,2080395.0,2087549.0,2092792.0,2090342.0,2090211.0
1860,36000,New York,New York,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19378124.0,19498514.0,19574549.0,19628043.0,19656330.0,19661411.0
1923,37000,North Carolina,North Carolina,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9535736.0,9656754.0,9749123.0,9843599.0,9933944.0,10033079.0
2024,38000,North Dakota,North Dakota,638817,644705,646089,649422,652822,657569,664968,672576.0,685136.0,701116.0,721999.0,737382.0,754022.0
2078,39000,Ohio,Ohio,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11536757.0,11543463.0,11548369.0,11576576.0,11602973.0,11617850.0
2167,40000,Oklahoma,Oklahoma,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3751583.0,3787821.0,3818600.0,3853205.0,3878367.0,3909831.0
2245,41000,Oregon,Oregon,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3831075.0,3871728.0,3899118.0,3922908.0,3964106.0,4016918.0
2282,42000,Pennsylvania,Pennsylvania,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12702873.0,12744583.0,12766827.0,12776621.0,12789101.0,12785759.0
2350,44000,Rhode Island,Rhode Island,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1052957.0,1053536.0,1054601.0,1055122.0,1056017.0,1056173.0
2356,45000,South Carolina,South Carolina,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4625381.0,4671422.0,4717112.0,4764153.0,4823793.0,4892253.0
2403,46000,South Dakota,South Dakota,763729,770396,775493,783033,791623,799124,807067,814198.0,823484.0,833496.0,842270.0,849088.0,853933.0
2470,47000,Tennessee,Tennessee,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6346286.0,6397410.0,6451281.0,6493432.0,6540826.0,6590808.0
2566,48000,Texas,Texas,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25146114.0,25646227.0,26089620.0,26489464.0,26977142.0,27486814.0
2821,49000,Utah,Utah,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2763891.0,2814216.0,2853467.0,2897927.0,2937399.0,2982497.0
2851,50000,Vermont,Vermont,617858,619920,621215,622892,623481,624151,624817,625744.0,626979.0,626063.0,626212.0,625218.0,625197.0
2866,51000,Virginia,Virginia,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8001055.0,8100469.0,8185229.0,8253053.0,8312076.0,8362907.0
3001,53000,Washington,Washington,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6724540.0,6821655.0,6892876.0,6962906.0,7052439.0,7163543.0
3041,54000,West Virginia,West Virginia,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1853001.0,1856074.0,1856764.0,1853873.0,1849467.0,1841996.0
3097,55000,Wisconsin,Wisconsin,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5687282.0,5704755.0,5719855.0,5736952.0,5751974.0,5761406.0
3170,56000,Wyoming,Wyoming,503453,509106,514157,522667,534876,546043,559851,563773.0,567224.0,576270.0,582123.0,582548.0,585668.0
