,STATE,COUNTY,YEAR,MME_Str
0,UT,BEAVER,2006,1844.9267702250058
1,UT,BEAVER,2007,2023.9426875000033
2,UT,BEAVER,2008,2123.6494654500016
3,UT,BEAVER,2009,2127.5523904499987
4,UT,BEAVER,2010,2100.023475000003
5,UT,BEAVER,2011,2481.090221362509
6,UT,BEAVER,2012,2987.27204250001
7,UT,BOX ELDER,2006,17787.44220000026
8,UT,BOX ELDER,2007,19711.47611000037
9,UT,BOX ELDER,2008,21215.0315050004
10,UT,BOX ELDER,2009,21205.280250000247
11,UT,BOX ELDER,2010,20832.21916500016
12,UT,BOX ELDER,2011,16962.650850000162
13,UT,BOX ELDER,2012,18123.072746587655
14,UT,CACHE,2006,26472.473900001056
15,UT,CACHE,2007,28550.63919283851
16,UT,CACHE,2008,28017.96055295099
17,UT,CACHE,2009,29283.488730451005
18,UT,CACHE,2010,28134.21915817606
19,UT,CACHE,2011,30621.32112840115
20,UT,CACHE,2012,31657.372511588444
21,UT,CARBON,2006,23097.950350000545
22,UT,CARBON,2007,24751.909612500476
23,UT,CARBON,2008,27561.626127500447
24,UT,CARBON,2009,28574.90793772551
25,UT,CARBON,2010,33949.84386840077
26,UT,CARBON,2011,30282.771180000374
27,UT,CARBON,2012,31174.55065522514
28,UT,DAVIS,2006,86047.40076045626
29,UT,DAVIS,2007,105742.82102957062
30,UT,DAVIS,2008,105604.3397503317
31,UT,DAVIS,2009,107299.63316906946
32,UT,DAVIS,2010,113912.7279847572
33,UT,DAVIS,2011,114396.66294045719
34,UT,DAVIS,2012,120450.97208179277
35,UT,DUCHESNE,2006,4461.587402000005
36,UT,DUCHESNE,2007,4678.94967750002
37,UT,DUCHESNE,2008,4625.174637500034
38,UT,DUCHESNE,2009,5592.951828862536
39,UT,DUCHESNE,2010,6475.71195772505
40,UT,DUCHESNE,2011,7114.449187500064
41,UT,DUCHESNE,2012,7867.310643862591
42,UT,EMERY,2006,7801.678247999981
43,UT,EMERY,2007,10048.441874999988
44,UT,EMERY,2008,10837.762362499983
45,UT,EMERY,2009,11001.287111587473
46,UT,EMERY,2010,14073.500025000008
47,UT,EMERY,2011,10709.78883749998
48,UT,EMERY,2012,9690.805537500013
49,UT,GARFIELD,2006,1413.9290999999994
50,UT,GARFIELD,2007,1654.578674999998
51,UT,GARFIELD,2008,1922.7136500000008
52,UT,GARFIELD,2009,1973.710049999998
53,UT,GARFIELD,2010,1755.7791374999997
54,UT,GARFIELD,2011,1956.5407163624986
55,UT,GARFIELD,2012,2165.671054987501
56,UT,GRAND,2006,2636.1306913625017
57,UT,GRAND,2007,2673.0445990875032
58,UT,GRAND,2008,2830.4302163625002
59,UT,GRAND,2009,2986.2383288624987
60,UT,GRAND,2010,3287.4970875000104
61,UT,GRAND,2011,4476.429525000019
62,UT,GRAND,2012,3822.6846750000086
63,UT,IRON,2006,13542.637687500208
64,UT,IRON,2007,14667.751672500191
65,UT,IRON,2008,15745.960557087676
66,UT,IRON,2009,16538.779572000145
67,UT,IRON,2010,18516.435784500132
68,UT,IRON,2011,21015.06967567512
69,UT,IRON,2012,21863.31257658759
70,UT,JUAB,2006,2917.7613890000057
71,UT,JUAB,2007,4072.7647950000137
72,UT,JUAB,2008,4133.116032000016
73,UT,JUAB,2009,4081.6824375000197
74,UT,JUAB,2010,4233.192300000018
75,UT,JUAB,2011,4937.130825000026
76,UT,JUAB,2012,5380.331884762529
77,UT,KANE,2006,3571.4177375000095
78,UT,KANE,2007,4312.77547476251
79,UT,KANE,2008,4143.8029434000055
80,UT,KANE,2009,4205.14833750001
81,UT,KANE,2010,4581.449141362516
82,UT,KANE,2011,5081.153625000015
83,UT,KANE,2012,6013.5922768125265
84,UT,MILLARD,2006,5122.725600000007
85,UT,MILLARD,2007,5578.618012500011
86,UT,MILLARD,2008,5478.964125000022
87,UT,MILLARD,2009,5767.685400000025
88,UT,MILLARD,2010,6118.36665000002
89,UT,MILLARD,2011,6590.942778862522
90,UT,MILLARD,2012,7046.789499300008
91,UT,MORGAN,2006,784.7945250000004
92,UT,MORGAN,2007,757.0555874999998
93,UT,MORGAN,2008,1408.2376875000025
94,UT,MORGAN,2009,1528.2743063625028
95,UT,MORGAN,2010,1463.4858750000017
96,UT,MORGAN,2011,1645.2932999999996
97,UT,MORGAN,2012,1621.9584750000006
98,UT,RICH,2006,247.2701625000001
99,UT,RICH,2007,1057.2358875
100,UT,RICH,2008,849.57825
101,UT,RICH,2009,1432.725675000001
102,UT,RICH,2010,1144.708875000001
103,UT,RICH,2011,1356.377625
104,UT,RICH,2012,1113.3987750000003
105,UT,SALT LAKE,2006,400109.588417107
106,UT,SALT LAKE,2007,443089.8310077142
107,UT,SALT LAKE,2008,448559.2187917059
108,UT,SALT LAKE,2009,466558.00250655075
109,UT,SALT LAKE,2010,486688.79343225725
110,UT,SALT LAKE,2011,491046.2739340697
111,UT,SALT LAKE,2012,515916.1402115478
112,UT,SAN JUAN,2006,1878.8796375000024
113,UT,SAN JUAN,2007,2092.982580450003
114,UT,SAN JUAN,2008,2330.336513400009
115,UT,SAN JUAN,2009,2863.5503327250094
116,UT,SAN JUAN,2010,3211.2204113625207
117,UT,SAN JUAN,2011,3545.702820225025
118,UT,SAN JUAN,2012,3619.753188862529
119,UT,SANPETE,2006,7572.368700000067
120,UT,SANPETE,2007,9093.967863862614
121,UT,SANPETE,2008,9482.455601362632
122,UT,SANPETE,2009,10454.463787500194
123,UT,SANPETE,2010,11604.210555000192
124,UT,SANPETE,2011,11912.191725225284
125,UT,SANPETE,2012,12845.51581500023
126,UT,SEVIER,2006,5328.853086000026
127,UT,SEVIER,2007,6124.703779075042
128,UT,SEVIER,2008,6570.521159762541
129,UT,SEVIER,2009,7953.77287500004
130,UT,SEVIER,2010,8487.054191362555
131,UT,SEVIER,2011,9340.289700000078
132,UT,SEVIER,2012,10181.079660000081
133,UT,SUMMIT,2006,9277.16814522518
134,UT,SUMMIT,2007,10745.770087712679
135,UT,SUMMIT,2008,10632.635397475204
136,UT,SUMMIT,2009,11206.903490662678
137,UT,SUMMIT,2010,10555.125957712688
138,UT,SUMMIT,2011,11369.36628611269
139,UT,SUMMIT,2012,12310.097720437703
140,UT,TOOELE,2006,22183.682057500337
141,UT,TOOELE,2007,23074.011776500367
142,UT,TOOELE,2008,22302.348347862837
143,UT,TOOELE,2009,24310.419427950204
144,UT,TOOELE,2010,27378.72658927526
145,UT,TOOELE,2011,29824.259733150204
146,UT,TOOELE,2012,29630.43675090037
147,UT,UINTAH,2006,4947.155896362519
148,UT,UINTAH,2007,5898.438037500031
149,UT,UINTAH,2008,6566.839675000066
150,UT,UINTAH,2009,7527.054300000131
151,UT,UINTAH,2010,7381.043587500113
152,UT,UINTAH,2011,8102.11272750016
153,UT,UINTAH,2012,8834.433885225144
154,UT,UTAH,2006,128229.54238476188
155,UT,UTAH,2007,142165.73293881156
156,UT,UTAH,2008,156944.94862683667
157,UT,UTAH,2009,167173.50257701537
158,UT,UTAH,2010,168080.69825251398
159,UT,UTAH,2011,163675.52652409903
160,UT,UTAH,2012,181692.3122165717
161,UT,WASATCH,2006,5926.119287500049
162,UT,WASATCH,2007,6483.0996000000505
163,UT,WASATCH,2008,6439.140071862534
164,UT,WASATCH,2009,6444.947902500026
165,UT,WASATCH,2010,6086.630040000028
166,UT,WASATCH,2011,6851.884170225046
167,UT,WASATCH,2012,7351.228353862533
168,UT,WASHINGTON,2006,48038.87421000271
169,UT,WASHINGTON,2007,53147.037077627836
170,UT,WASHINGTON,2008,58464.55035926525
171,UT,WASHINGTON,2009,66573.54911704037
172,UT,WASHINGTON,2010,74741.46582817833
173,UT,WASHINGTON,2011,80426.89282909014
174,UT,WASHINGTON,2012,88756.07292791444
175,UT,WAYNE,2006,741.0286875000005
176,UT,WAYNE,2007,778.9374300000003
177,UT,WAYNE,2008,845.2192875000003
178,UT,WAYNE,2009,876.4683525000014
179,UT,WAYNE,2010,1095.695752500002
180,UT,WAYNE,2011,1154.3081325000014
